data,ipca,selic,cdi,fipezap_rec,ano,pib_br,pib_pe,pib_rec,pop_rec,renda_per_capita_rec
2011-01-01,0.83,0.86,0.86,107.4,2011,327592.4,110161559.0,37630879.0,1546516.0,24332.68003693463
2011-02-01,0.8,0.84,0.84,108.89,2011,327592.4,110161559.0,37630879.0,1546516.0,24332.68003693463
2011-03-01,0.79,0.92,0.92,111.07,2011,327592.4,110161559.0,37630879.0,1546516.0,24332.68003693463
2011-04-01,0.77,0.84,0.84,115.03,2011,327592.4,110161559.0,37630879.0,1546516.0,24332.68003693463
2011-05-01,0.47,0.99,0.99,118.95,2011,327592.4,110161559.0,37630879.0,1546516.0,24332.68003693463
2011-06-01,0.15,0.96,0.95,122.63,2011,327592.4,110161559.0,37630879.0,1546516.0,24332.68003693463
2011-07-01,0.16,0.97,0.97,126.31,2011,327592.4,110161559.0,37630879.0,1546516.0,24332.68003693463
2011-08-01,0.37,1.07,1.07,130.04,2011,327592.4,110161559.0,37630879.0,1546516.0,24332.68003693463
2011-09-01,0.53,0.94,0.94,133.2,2011,327592.4,110161559.0,37630879.0,1546516.0,24332.68003693463
2011-10-01,0.43,0.88,0.88,134.77,2011,327592.4,110161559.0,37630879.0,1546516.0,24332.68003693463
2011-11-01,0.52,0.86,0.86,136.13,2011,327592.4,110161559.0,37630879.0,1546516.0,24332.68003693463
2011-12-01,0.5,0.91,0.9,139.33,2011,327592.4,110161559.0,37630879.0,1546516.0,24332.68003693463
2012-01-01,0.56,0.89,0.89,144.1,2012,364188.7,127989043.0,42890606.0,1555039.0,27581.691520276985
2012-02-01,0.45,0.75,0.74,148.71,2012,364188.7,127989043.0,42890606.0,1555039.0,27581.691520276985
2012-03-01,0.21,0.82,0.81,151.88,2012,364188.7,127989043.0,42890606.0,1555039.0,27581.691520276985
2012-04-01,0.64,0.71,0.7,153.95,2012,364188.7,127989043.0,42890606.0,1555039.0,27581.691520276985
2012-05-01,0.36,0.74,0.73,156.81,2012,364188.7,127989043.0,42890606.0,1555039.0,27581.691520276985
2012-06-01,0.08,0.64,0.64,158.0,2012,364188.7,127989043.0,42890606.0,1555039.0,27581.691520276985
2012-07-01,0.43,0.68,0.68,159.02,2012,364188.7,127989043.0,42890606.0,1555039.0,27581.691520276985
2012-08-01,0.41,0.69,0.69,159.28,2012,364188.7,127989043.0,42890606.0,1555039.0,27581.691520276985
2012-09-01,0.57,0.54,0.54,160.98,2012,364188.7,127989043.0,42890606.0,1555039.0,27581.691520276985
2012-10-01,0.59,0.61,0.61,162.76,2012,364188.7,127989043.0,42890606.0,1555039.0,27581.691520276985
2012-11-01,0.6,0.55,0.54,163.44,2012,364188.7,127989043.0,42890606.0,1555039.0,27581.691520276985
2012-12-01,0.79,0.55,0.53,164.16,2012,364188.7,127989043.0,42890606.0,1555039.0,27581.691520276985
2013-01-01,0.86,0.6,0.59,163.91,2013,408895.0,141150252.0,46771183.0,1599513.0,29240.8895707631
2013-02-01,0.6,0.49,0.48,162.28,2013,408895.0,141150252.0,46771183.0,1599513.0,29240.8895707631
2013-03-01,0.47,0.55,0.54,163.27,2013,408895.0,141150252.0,46771183.0,1599513.0,29240.8895707631
2013-04-01,0.55,0.61,0.6,165.72,2013,408895.0,141150252.0,46771183.0,1599513.0,29240.8895707631
2013-05-01,0.37,0.6,0.58,170.46,2013,408895.0,141150252.0,46771183.0,1599513.0,29240.8895707631
2013-06-01,0.26,0.61,0.59,174.18,2013,408895.0,141150252.0,46771183.0,1599513.0,29240.8895707631
2013-07-01,0.03,0.72,0.71,176.36,2013,408895.0,141150252.0,46771183.0,1599513.0,29240.8895707631
